date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2022-06-02,239.45,242.0,236.95,238.25,19679.0
2022-06-03,236.15,240.0,231.45,232.4,19089.0
2022-06-06,233.6,240.45,232.85,237.55,27694.0
2022-06-07,235.4,238.65,230.75,232.15,28721.0
2022-06-08,233.0,234.6,229.85,231.85,21824.0
2022-06-09,231.25,235.7,230.3,234.65,23006.0
2022-06-10,234.0,235.45,227.8,228.9,38907.0
2022-06-13,226.8,227.85,218.9,223.35,22838.0
2022-06-14,224.25,229.25,222.9,226.95,12874.0
2022-06-15,225.85,229.7,221.75,228.5,9194.0
2022-06-16,228.5,233.0,226.2,231.95,5592.0
2022-06-17,232.7,234.5,226.8,227.65,9111.0
2022-06-21,227.9,236.4,227.9,233.1,14715.0
2022-06-22,233.95,239.0,232.5,238.6,295.0
2022-06-23,238.5,238.5,231.7,232.45,556.0
2022-06-24,231.25,234.45,226.0,226.6,137.0
2022-06-27,227.4,229.2,224.25,226.0,69.0
2022-06-28,224.5,224.95,221.25,221.9,23.0
2022-06-29,223.3,232.65,223.25,232.65,28.0
2022-06-30,233.7,233.7,233.7,233.6,8.0
2022-07-01,232.85,232.85,227.9,228.45,72.0
2022-07-05,227.5,227.5,224.95,224.65,12.0
2022-07-06,223.55,223.55,222.25,222.5,2.0
2022-07-07,225.75,225.75,225.75,222.2,1.0
2022-07-08,222.35,222.35,219.0,222.9,75.0
2022-07-11,222.7,222.7,222.7,216.9,10.0
2022-07-12,216.0,216.0,209.0,209.25,9.0
2022-07-13,209.8,209.8,209.8,211.25,2.0
2022-07-14,,,,199.2,
2022-07-15,,,,203.7,
2022-07-18,216.3,216.3,216.3,219.1,2.0
2022-07-19,,,,220.4,
2022-07-20,216.0,218.6,213.95,218.15,13331.0
2022-07-21,217.3,218.25,214.3,215.85,11857.0
2022-07-22,214.8,214.8,205.5,206.7,21963.0
2022-07-25,205.2,211.25,204.2,210.05,15069.0
2022-07-26,210.5,215.1,209.65,213.2,13848.0
2022-07-27,213.05,220.25,212.55,219.1,19700.0
2022-07-28,219.3,221.4,214.25,218.4,14416.0
2022-07-29,219.4,220.4,211.95,217.2,19367.0
2022-08-01,217.55,222.2,210.4,213.2,19378.0
2022-08-02,211.7,212.8,205.9,209.9,18769.0
2022-08-03,207.8,218.55,207.4,214.65,19564.0
2022-08-04,214.8,220.45,214.15,219.3,22022.0
2022-08-05,220.1,221.95,208.55,209.45,36198.0
2022-08-08,210.4,215.7,207.5,211.85,25344.0
2022-08-09,212.0,213.5,208.2,212.75,21427.0
2022-08-10,212.75,221.35,212.6,220.45,21800.0
2022-08-11,221.2,224.45,215.25,223.95,20781.0
2022-08-12,223.85,227.7,221.25,226.6,16572.0
2022-08-15,226.05,226.25,221.65,225.5,10182.0
2022-08-16,224.9,225.0,218.7,219.35,11230.0
2022-08-17,219.0,222.1,215.9,217.45,5865.0
2022-08-18,218.0,220.7,214.35,214.7,7487.0
2022-08-19,215.2,217.55,212.6,215.95,9615.0
2022-08-22,215.0,225.6,213.55,224.3,10077.0
2022-08-23,224.55,231.6,222.8,230.65,242.0
2022-08-24,234.35,242.35,234.35,242.95,62.0
2022-08-25,242.65,246.9,241.95,243.4,20.0
2022-08-26,242.6,245.25,242.45,242.0,18.0
2022-08-29,240.55,240.55,240.55,240.5,1.0
2022-08-30,238.75,241.75,238.75,239.15,14.0
2022-08-31,240.75,240.75,239.65,239.1,12.0
2022-09-01,238.55,238.55,236.6,236.35,6.0
2022-09-02,236.9,237.55,232.3,232.65,7.0
2022-09-06,232.0,234.0,232.0,233.9,3.0
2022-09-07,229.3,229.5,227.2,226.9,8.0
2022-09-08,227.5,227.5,225.6,225.85,4.0
2022-09-09,229.7,229.7,229.7,231.5,13.0
2022-09-12,227.5,228.15,227.5,227.75,16.0
2022-09-13,225.85,225.85,221.5,223.95,11.0
2022-09-14,225.85,225.85,215.75,217.6,26.0
2022-09-15,219.2,219.2,219.2,219.15,1.0
2022-09-16,216.15,216.15,216.15,218.05,3.0
2022-09-19,,,,224.05,
2022-09-20,,,,228.1,
2022-09-21,224.7,226.4,219.4,221.3,11658.0
2022-09-22,220.75,224.4,218.1,223.55,11419.0
2022-09-23,222.4,223.4,217.25,220.45,12356.0
2022-09-26,218.5,232.05,218.4,223.8,23523.0
2022-09-27,225.0,229.05,222.9,224.35,15720.0
2022-09-28,223.95,229.4,220.35,228.7,17981.0
2022-09-29,228.2,229.75,224.2,225.7,14501.0
2022-09-30,225.2,226.45,220.9,221.55,16727.0
2022-10-03,220.8,222.65,214.75,215.75,22478.0
2022-10-04,216.55,222.45,216.3,219.3,20035.0
2022-10-05,219.65,226.3,218.1,224.65,23923.0
2022-10-06,226.25,226.45,216.75,217.7,22410.0
2022-10-07,217.95,221.05,213.8,218.1,21179.0
2022-10-10,217.0,219.35,215.35,217.45,11673.0
2022-10-11,216.9,220.9,215.15,217.85,15733.0
2022-10-12,217.4,218.85,209.2,209.75,31777.0
2022-10-13,209.7,210.6,201.1,202.15,34565.0
2022-10-14,203.0,204.6,195.65,196.7,31214.0
2022-10-17,197.5,199.7,194.05,195.55,21872.0
2022-10-18,196.3,197.8,193.2,195.1,18453.0
2022-10-19,195.1,196.45,190.15,192.3,19265.0
2022-10-20,190.15,194.6,188.2,191.05,20022.0
2022-10-21,188.7,192.55,186.2,190.9,17813.0
2022-10-24,190.05,194.15,188.9,190.4,18487.0
2022-10-25,191.1,192.8,183.3,185.8,28943.0
2022-10-26,184.9,185.75,179.05,179.75,25195.0
2022-10-27,181.0,183.6,178.1,178.85,19567.0
2022-10-28,178.85,179.65,167.75,169.8,30554.0
2022-10-31,171.7,178.55,171.55,177.7,26373.0
2022-11-01,177.85,180.6,173.8,174.6,21709.0
2022-11-02,175.2,183.4,175.2,182.15,19829.0
2022-11-03,181.15,181.25,170.0,172.2,23035.0
2022-11-04,174.4,177.9,173.45,175.75,15422.0
2022-11-07,175.7,177.55,166.45,170.55,27609.0
2022-11-08,171.5,172.55,163.8,166.45,27557.0
2022-11-09,164.9,168.45,163.65,165.15,22941.0
2022-11-10,165.3,171.7,162.9,171.0,23681.0
2022-11-11,170.25,173.7,168.7,170.1,18694.0
2022-11-14,168.7,168.7,163.4,166.2,11888.0
2022-11-15,166.15,167.7,154.1,156.75,12892.0
2022-11-16,158.9,159.55,154.3,155.45,7028.0
2022-11-17,154.9,156.15,150.6,152.7,6069.0
2022-11-18,153.65,157.05,150.75,151.3,4246.0
2022-11-21,151.5,159.0,150.45,157.5,303.0
2022-11-22,160.0,162.25,160.0,161.8,14.0
2022-11-23,163.85,163.85,160.2,160.1,19.0
2022-11-25,162.3,162.3,162.3,163.55,14.0
2022-11-28,162.9,162.9,160.85,160.65,4.0
2022-11-29,,,,166.7,4.0
2022-11-30,167.5,167.5,167.5,167.7,1.0
2022-12-01,170.0,170.45,170.0,163.35,2.0
2022-12-02,159.65,161.45,159.65,160.15,11.0
2022-12-05,,,,160.15,
2022-12-06,161.1,161.1,161.1,161.05,1.0
2022-12-07,,,,157.7,8.0
2022-12-08,158.5,158.5,157.0,156.9,8.0
2022-12-09,158.5,158.5,157.0,157.75,35.0
2022-12-12,156.3,156.5,155.0,166.35,20.0
2022-12-13,165.5,165.5,165.0,167.15,29.0
2022-12-14,167.0,169.6,166.5,168.3,104.0
2022-12-15,,,,171.5,2.0
2022-12-16,,,,164.15,
2022-12-19,,,,164.05,
2022-12-20,164.5,169.65,164.2,167.8,12859.0
2022-12-21,168.5,170.35,167.1,169.35,10144.0
2022-12-22,169.1,170.2,165.15,168.9,10468.0
